Responsible_actor;SUMleges;Case ID;label;Aanleg (Uitvoeren werk of werkzaamheid);Bouw;Brandveilig gebruik (melding);Brandveilig gebruik (vergunning);Gebiedsbescherming;Handelen in strijd met regels RO;Inrit/Uitweg;Kap;Milieu (melding);Milieu (neutraal wijziging);Milieu (omgevingsvergunning beperkte milieutoets);Milieu (vergunning);Monument;Reclame;Sloop;Activity;monitoringResource;question;org:resource;time:timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_060;560872;True;560872;2010-10-15 08:25:19;505;10;4;8;1.4166666666666667;4945.316666666667;9;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_1;560872;EMPTY;560872;2010-10-15 09:33:01;573;10;4;9;67.7;5013.016666666666;10;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;06_VD_010;560872;False;560872;2010-10-15 09:34:43;574;10;4;9;1.7;5014.716666666666;11;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560872;EMPTY;560872;2010-10-15 09:45:42;585;10;4;9;10.983333333333333;5025.7;12;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_130;560872;False;560872;2010-10-15 09:47:24;587;10;4;9;1.7;5027.4;13;6
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_050;560872;True;560872;2010-10-15 10:02:19;602;10;4;10;14.916666666666666;5042.316666666667;14;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_065_1;560872;EMPTY;560872;2010-10-15 10:53:09;653;10;4;10;773.15;5093.15;7;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560872;EMPTY;560872;2010-10-15 10:54:46;654;10;4;10;1.6166666666666667;5094.766666666666;8;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_130;560872;False;560872;2010-10-15 10:55:28;655;10;4;10;0.7;5095.466666666666;9;6
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_050;560872;True;560872;2010-10-15 10:55:41;655;10;4;10;0.2166666666666666;5095.683333333333;10;6
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560925;EMPTY;560912;2010-10-17 22:00:00;1320;10;6;22;8043.533333333334;17280.0;6;6
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560925;EMPTY;560912;2010-10-18 13:56:37;836;10;0;13;956.6166666666668;18236.616666666665;7;6
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_050;560925;True;560912;2010-10-18 13:56:54;836;10;0;13;0.2833333333333333;18236.9;8;6
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560925;EMPTY;560912;2010-10-18 13:57:23;837;10;0;13;0.4833333333333333;18237.38333333333;9;6
560925.0;0.0;2814003;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;560912;2010-10-18 22:00:00;1320;10;0;22;0.0;0.0;1;8
560872.0;0.0;2883285;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560872;EMPTY;560872;2010-10-18 22:00:00;1320;10;0;22;0.0;0.0;1;8
4901428.0;1354.2542;2771451;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;560925;EMPTY;2670601;2010-10-18 22:00:00;1320;10;0;22;18720.0;18720.0;2;8
4901428.0;2302.0476;2783345;deviant;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_190_2;560925;EMPTY;2670601;2010-10-18 22:00:00;1320;10;0;22;11520.0;17280.0;5;8
560894.0;0.0;2799076;deviant;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;01_HOOFD_015;560894;EMPTY;560912;2010-10-19 10:47:20;647;10;1;10;9407.333333333334;9407.333333333334;2;7
560872.0;0.0;2883285;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560872;EMPTY;560872;2010-10-20 22:00:00;1320;10;2;22;2880.0;2880.0;2;7
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_010;560925;EMPTY;560925;2010-10-21 22:00:00;1320;10;3;22;0.0;0.0;1;9
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560925;EMPTY;560925;2010-10-21 22:00:00;1320;10;3;22;0.0;0.0;1;9
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560912;EMPTY;560912;2010-10-24 22:00:00;1320;10;6;22;0.0;0.0;1;11
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560912;EMPTY;560912;2010-10-24 22:00:00;1320;10;6;22;0.0;0.0;1;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_030_2;560925;EMPTY;560925;2010-10-24 22:00:00;1320;10;6;22;0.0;4320.0;2;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_195_2;560462;EMPTY;560872;2010-10-24 22:00:00;1320;10;6;22;4320.0;4320.0;3;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_015;560462;EMPTY;560925;2010-10-25 07:33:31;453;10;0;7;573.5166666666667;4893.516666666666;4;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_020;560925;False;560925;2010-10-25 07:33:50;453;10;0;7;0.3166666666666666;4893.833333333333;5;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_030_1;560925;EMPTY;560925;2010-10-25 07:37:23;457;10;0;7;3.55;4897.383333333333;6;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_040;560925;False;560925;2010-10-25 07:37:42;457;10;0;7;0.3166666666666666;4897.7;7;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_060;560925;False;560925;2010-10-25 07:37:52;457;10;0;7;0.1666666666666666;4897.866666666667;8;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;04_BPT_010;560925;False;560925;2010-10-25 07:38:00;458;10;0;7;0.1333333333333333;4898.0;9;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;04_BPT_020;560925;Uitgebreid;560925;2010-10-25 07:38:07;458;10;0;7;0.1166666666666666;4898.116666666667;10;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;04_BPT_030;560925;True;560925;2010-10-25 07:38:16;458;10;0;7;0.15;4898.266666666666;11;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;04_BPT_040;560925;Eerste;560925;2010-10-25 07:38:21;458;10;0;7;0.0833333333333333;4898.35;12;11
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;04_BPT_060;560925;26 weken;560925;2010-10-25 07:38:42;458;10;0;7;0.35;4898.7;13;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_110;560872;EMPTY;560872;2010-10-25 13:21:50;801;10;0;13;14599.516666666666;19641.83333333333;15;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;05_EIND_010;560872;False;560872;2010-10-25 13:22:03;802;10;0;13;0.2166666666666666;19642.05;16;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_120;560872;EMPTY;560872;2010-10-25 13:22:21;802;10;0;13;0.3;19642.35;17;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_180;560872;True;560872;2010-10-25 13:22:29;802;10;0;13;0.1333333333333333;19642.483333333334;18;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_190_1;560872;EMPTY;560872;2010-10-25 13:22:32;802;10;0;13;0.05;19642.533333333333;19;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_200;560872;True;560872;2010-10-25 13:22:59;802;10;0;13;0.0;19642.983333333334;20;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_205;560872;EMPTY;560872;2010-10-25 13:22:59;802;10;0;13;0.45;19642.983333333334;21;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_270;560872;False;560872;2010-10-25 13:23:05;803;10;0;13;0.1;19643.08333333333;22;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_250;560872;EMPTY;560872;2010-10-25 13:23:15;803;10;0;13;0.1666666666666666;19643.25;23;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_260;560872;EMPTY;560872;2010-10-25 13:23:17;803;10;0;13;0.0333333333333333;19643.283333333333;24;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;09_AH_I_010;560872;False;560872;2010-10-25 13:23:23;803;10;0;13;0.1;19643.38333333333;25;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_370;560872;EMPTY;560872;2010-10-25 13:23:25;803;10;0;13;0.0;19643.416666666668;26;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_375;560872;EMPTY;560872;2010-10-25 13:23:25;803;10;0;13;0.0333333333333333;19643.416666666668;27;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_380;560872;False;560872;2010-10-25 13:23:30;803;10;0;13;0.0833333333333333;19643.5;28;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_430;560872;False;560872;2010-10-25 13:23:39;803;10;0;13;0.15;19643.65;29;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_470;560872;False;560872;2010-10-25 13:23:45;803;10;0;13;0.1;19643.75;30;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_480;560872;False;560872;2010-10-25 13:23:49;803;10;0;13;0.0;19643.816666666666;31;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_490_1;560872;EMPTY;560872;2010-10-25 13:23:49;803;10;0;13;0.0666666666666666;19643.816666666666;32;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_490_2;560872;EMPTY;560872;2010-10-25 13:23:52;803;10;0;13;0.05;19643.866666666665;33;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_500;560872;42;560872;2010-10-25 13:24:22;804;10;0;13;0.5;19644.366666666665;34;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_510_1;560872;EMPTY;560872;2010-10-25 13:34:54;814;10;0;13;10.533333333333331;19654.9;35;11
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_520;560872;EMPTY;560872;2010-10-25 13:35:05;815;10;0;13;0.1833333333333333;19655.08333333333;36;11
4901428.0;116.79765;2838476;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_010;560925;EMPTY;560925;2010-10-25 22:00:00;1320;10;0;22;0.0;0.0;1;12
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_490_3;560872;EMPTY;560872;2010-10-25 22:00:00;1320;10;0;22;504.9166666666667;20160.0;37;12
4901428.0;116.79765;2782209;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560925;EMPTY;560912;2010-10-26 22:00:00;1320;10;1;22;12002.616666666669;30240.0;10;12
560872.0;111.276;2794023;regular;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;01_HOOFD_100;560872;EMPTY;560872;2010-10-26 22:00:00;1320;10;1;22;16504.316666666666;21600.0;11;12
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560872;EMPTY;560872;2010-10-26 22:00:00;1320;10;1;22;1440.0;21600.0;38;12
560925.0;0.0;2814003;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560925;EMPTY;560912;2010-10-31 23:00:00;1380;10;6;23;18780.0;18780.0;3;12
560925.0;0.0;2814003;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_190_2;560925;EMPTY;560912;2010-10-31 23:00:00;1380;10;6;23;0.0;18780.0;2;12
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_510_2;560872;EMPTY;560872;2010-10-31 23:00:00;1380;10;6;23;7260.0;28860.0;39;12
560925.0;0.0;2839858;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;560925;2010-11-01 23:00:00;1380;11;0;23;0.0;0.0;1;15
560925.0;0.0;2840219;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;560925;2010-11-01 23:00:00;1380;11;0;23;0.0;0.0;1;15
560925.0;0.0;2840553;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_010;560925;EMPTY;560925;2010-11-01 23:00:00;1380;11;0;23;0.0;0.0;1;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560925;EMPTY;560925;2010-11-01 23:00:00;1380;11;0;23;15900.0;15900.0;2;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560912;EMPTY;560912;2010-11-01 23:00:00;1380;11;0;23;11580.0;11580.0;2;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560912;EMPTY;560912;2010-11-01 23:00:00;1380;11;0;23;11580.0;11580.0;2;15
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_065_1;560925;EMPTY;560950;2010-11-02 08:06:18;486;11;1;8;11547.6;16446.3;14;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560912;EMPTY;560912;2010-11-02 10:44:58;644;11;1;10;704.9666666666667;12284.966666666667;3;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560912;True;560912;2010-11-02 10:45:04;645;11;1;10;0.1;12285.066666666668;4;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560912;False;560912;2010-11-02 10:45:09;645;11;1;10;0.0833333333333333;12285.15;5;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560912;True;560912;2010-11-02 10:45:17;645;11;1;10;0.1333333333333333;12285.283333333333;6;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560912;EMPTY;560912;2010-11-02 10:52:09;652;11;1;10;6.866666666666666;12292.15;7;15
560912.0;116.79765;2831567;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560912;EMPTY;560912;2010-11-02 13:30:17;810;11;1;13;158.13333333333333;12450.283333333333;8;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560925;EMPTY;560925;2010-11-02 13:41:01;821;11;1;13;881.0166666666667;16781.016666666666;3;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560925;True;560925;2010-11-02 13:41:08;821;11;1;13;0.1166666666666666;16781.133333333335;4;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560925;False;560925;2010-11-02 13:41:14;821;11;1;13;0.1;16781.233333333334;5;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560925;True;560925;2010-11-02 13:41:19;821;11;1;13;0.0833333333333333;16781.316666666666;6;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560925;EMPTY;560925;2010-11-02 13:46:26;826;11;1;13;5.116666666666666;16786.433333333334;7;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_015;560464;EMPTY;560912;2010-11-02 13:47:11;827;11;1;13;887.1833333333333;12467.183333333332;3;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_020;560912;True;560912;2010-11-02 13:47:21;827;11;1;13;0.1666666666666666;12467.35;4;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_040;560912;False;560912;2010-11-02 13:47:27;827;11;1;13;0.1;12467.45;5;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_060;560912;True;560912;2010-11-02 13:47:36;827;11;1;13;0.15;12467.6;6;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_1;560912;EMPTY;560912;2010-11-02 13:50:28;830;11;1;13;2.8666666666666667;12470.466666666667;7;15
4901428.0;116.79765;2833073;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560912;EMPTY;560912;2010-11-02 13:55:26;835;11;1;13;4.966666666666667;12475.433333333332;8;15
4901428.0;116.79765;2830183;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_100;560925;EMPTY;560925;2010-11-02 14:05:29;845;11;1;14;19.05;16805.483333333334;8;15
560925.0;0.0;2814003;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_100;560925;EMPTY;560912;2010-11-02 23:00:00;1380;11;1;23;2880.0;21660.0;4;15
560872.0;0.0;2797217;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_530;560872;EMPTY;560872;2010-11-02 23:00:00;1380;11;1;23;2880.0;31740.0;40;15
4901428.0;3996.7473;2851738;regular;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_010;560912;EMPTY;560912;2010-11-03 23:00:00;1380;11;2;23;0.0;0.0;1;17
4901428.0;4719.4175;2852274;regular;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;01_HOOFD_010;560912;EMPTY;560912;2010-11-03 23:00:00;1380;11;2;23;0.0;0.0;1;17
560462.0;0.0;2817543;deviant;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;01_HOOFD_065_2;560925;EMPTY;560950;2010-11-03 23:00:00;1380;11;2;23;2333.7;18780.0;15;17
4901428.0;116.79765;2838476;regular;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;01_HOOFD_065_2;560925;EMPTY;560925;2010-11-03 23:00:00;1380;11;2;23;13020.0;13020.0;2;17
560925.0;0.0;2839858;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560925;EMPTY;560925;2010-11-03 23:00:00;1380;11;2;23;2880.0;2880.0;2;17
560925.0;0.0;2840219;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560925;EMPTY;560925;2010-11-03 23:00:00;1380;11;2;23;2880.0;2880.0;2;17
560925.0;0.0;2840553;regular;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;01_HOOFD_065_2;560925;EMPTY;560925;2010-11-03 23:00:00;1380;11;2;23;2880.0;2880.0;2;17
